P20273	Q07108
P04233	P62847
Q6IPU0	Q8N2Z9
P0DPK4	Q6L8H1
Q01860	Q9Y4Z2
O75558	Q7Z699
Q9P013	Q9Y2W2
P55087	P55087
Q6IA86	Q9H9T3
P07947	P10275
P25106	P25106
P82663	Q96BP2
P53384	Q9H5X1
P54577	Q15046
Q8IXW5	Q92541
Q8TAE8	Q9H0I2
P00747	P08697
Q7Z2K6	Q7Z2K6
Q96AQ6	Q99750
Q8IY31	Q9Y448
P62847	Q02543
Q92805	Q92805
P08138	P49763
Q9UQ80	Q9Y2R9
P14060	P28845
Q96T37	Q9UKD2
Q8NCE2	Q96PE3
Q9UI30	Q9ULX3
P58005	Q9UGJ0
Q5TA89	Q9NYJ7
Q8WWH5	Q9GZL7
P0DPK4	P60329
O95166	Q8WVZ9
P28702	Q96B26
P08865	P60059
P42677	P60228
O43639	Q86V42
O14777	Q9P1Z2
P46937	Q9NQB0
P26378	Q5TAB7
P43243	Q9BZW7
Q9NY43	Q9NY43
P63173	Q9NZL4
P49768	P78536
O96006	Q13671
Q9BXY0	Q9NV06
O14757	P30305
P56385	Q9NX14
Q6Y288	Q9HCB6
Q2WGJ6	Q2WGJ6
P41223	Q9BRD0
Q6SJ96	Q9UNN4
Q8NCN2	Q9Y2W6
Q6NUQ1	Q7Z6J9
P27540	Q15370
Q8NCA9	Q9BUZ4
Q13895	Q15025
P83876	Q8IYB3
O14979	Q92841
P52803	Q8TDT2
P62847	Q9Y3A5
P63208	Q8N1E6
P62263	Q9Y3U8
Q92759	Q9BUE0
Q8N386	Q96IW7
Q15696	Q96N21
O75832	Q15008
O43242	P20618
Q6PEW1	Q969F0
P02649	Q6ZNA4
Q10567	Q9Y5X1
Q9UBP4	Q9Y5W5
P26373	P61247
P07741	Q8N142
Q5GFL6	Q5GFL6
P30086	Q9NRD5
P55157	Q9BUR5
P02768	P05112
P01730	P25445
Q15544	Q7Z7C8
Q969F0	Q9H1C4
O14964	Q92567
P01008	P08697
Q9H0F5	Q9H0F5
O95456	P62913
Q5BJF6	Q96ST8
Q13064	Q8NHQ1
Q08AM6	Q8NFV4
Q92552	Q9H9J2
P55081	P62318
Q07325	Q99731
Q14498	Q8IYB3
Q96EL3	Q9Y676
P31040	Q9UHK6
Q86SE9	Q8NDX5
Q96DY2	Q9Y6A5
P22749	Q9BYJ0
P43364	P58340
P14927	Q9NVA1
P62851	Q00987
Q12788	Q9Y221
Q01664	Q2NL98
O60760	Q9UJ14
O00623	Q9BQA9
P62851	P63241
O15213	P62269
P28331	Q9Y375
Q49A88	Q9Y2D8
Q16543	Q99558
L0R8F8	Q9BYD2
Q6NYC8	Q8NHQ1
P55212	Q14790
Q8IXM3	Q9BYD2
P62277	P80217
Q15370	Q9Y6I7
Q9BZL1	Q9NR22
P01100	P03372
O94888	Q96EQ8
Q96C55	Q96C55
Q6DKI7	Q6DKI7
Q14162	Q9Y584
P01589	Q13478
P51843	P62508
P60468	Q9BY50
P10909	Q14114
P55957	Q04864
Q7Z3B4	Q7Z3B4
Q15269	Q9NW13
O60260	Q9Y385
P40189	Q14213
P48047	Q16864
P78316	Q13823
Q13823	Q9BVS4
P22352	Q14145
Q14847	Q71SY5
O14530	Q9H9E3
O14662	Q9P2W9
Q96HR9	Q96HR9
P40189	P78552
P13639	Q6W5P4
P13010	Q19AV6
O60613	Q9BVL4
P25025	Q13304
P62308	Q5RL73
P50591	Q9Y572
P22307	P30084
Q9BQA1	Q9Y3C5
P15374	Q13564
O15235	Q9Y2R9
Q32P28	Q96AY3
Q8IWL8	Q96HA8
O43765	P30040
Q96GS4	Q96MY7
P51878	P57764
O43678	P31040
O95169	P48047
O76024	P82979
Q01664	Q96B26
P57086	Q53GI3
P43351	Q9UQ84
P13693	P42766
Q96KR6	Q9P0B6
P60059	P62241
P62269	P82664
Q96BZ8	Q9P2M1
Q9NQX0	Q9Y4C2
O60760	P09211
P05231	P15391
P41212	Q13769
O96006	Q9UBT7
P21589	Q9HAN9
O75444	P18848
O76021	P61254
O43482	Q9BVN2
P05067	P10636
O14964	P78424
Q6QNY1	Q96MY7
P78344	Q7Z739
P02778	P27487
P05019	Q9H0I2
Q14134	Q9H257
P18859	Q96PQ1
Q8WVT3	Q9Y5R8
P11836	P11836
P50895	Q07627
P32780	Q9NX70
Q92665	Q9Y2R5
Q9NYM9	Q9NZ43
P46778	P62495
Q00G26	Q96AD5
P57075	Q6IEG0
Q15398	Q96BD8
Q53EZ4	Q96T49
P46781	Q13405
Q9H633	Q9H633
Q9NQP4	Q9UHV9
P49755	Q99805
P98170	Q13490
Q13042	Q14781
P30084	P45954
Q96LX7	Q9HC44
O00567	Q9NY61
P62805	Q13352
Q2VPB7	Q9H0R1
Q6UXL0	Q8IU54
Q969H6	Q96DI7
P18077	P23396
Q30KP9	Q8NES8
P09001	Q9Y4W6
Q8NEJ9	Q9BVP2
P20290	P62854
Q9BYE0	Q9BYE0
P04141	P09603
Q2NL98	Q7Z5V6
P19388	Q96MX6
O60942	P36954
O75586	P62487
O43927	P61073
Q10713	Q9Y512
P28702	Q92504
P62875	Q9NYV6
Q02252	Q9NTX5
Q2TAC2	Q6S9Z5
Q15542	Q9H8E8
P62854	Q6DKI1
Q13490	Q13546
P62857	P82664
O95433	P61604
P25445	P41182
P13639	P62906
Q0GE19	Q7Z388
P63173	P63241
P26378	Q9H816
P20674	Q9HCQ7
Q8IZQ5	Q99611
P00734	P05121
A1L4K1	Q8NEF3
Q15554	Q5VYV7
P82921	Q92665
O43681	Q16378
P50990	Q8N7X4
Q4U2R6	Q9UI43
P10721	Q9GZV9
Q96MT8	Q99816
P28066	Q969U7
P19388	Q9HCN4
P11831	Q8IZQ8
P15927	Q99638
Q9GZL7	Q9NY93
Q5T749	Q92570
P61011	Q9NRX2
P15927	P49959
P18031	P46108
O00232	O14562
O15239	O95299
Q5T655	Q9BYV9
P06401	P12273
O14979	O14979
P55036	Q05086
P43246	Q96NY9
P37268	Q13520
P26374	P51149
P55211	Q9NQS1
O95182	P49638
P98082	Q9BQI5
P50454	P50454
Q9NQ40	Q9NQ40
Q8ND56	Q96F86
O95167	O95182
O60687	P00749
Q14642	Q9BT40
Q14232	Q8IWR1
Q86UW9	Q9H6L4
P25205	Q9UQ07
Q86VX2	Q8TCE6
P82675	Q9BYD6
O43353	Q9Y4K3
O43557	O75508
P06748	P17480
Q15573	Q9GZS1
Q8TDT2	Q9NPL8
O43829	O60921
P01579	P25025
Q8N653	Q9UJP4
O43716	Q9H0R6
Q12788	Q15269
O75394	P82930
Q8TF01	Q9H307
Q9NVN8	Q9NYH9
P24863	Q9P086
Q92698	Q9UQ84
O14910	Q13368
P61769	Q03518
Q13520	Q53HI1
P05090	Q13323
Q8IY26	Q96HJ5
Q9BQ52	Q9UKF6
O95336	O95336
O15392	Q96BD8
Q68DC2	Q8TD19
Q7L590	Q96B01
O75448	P10827
P29965	P32970
Q8NI60	Q9UI14
O14618	O14618
Q7Z417	Q9UHK0
Q99519	Q99519
P46782	Q9NRX2
Q8N3I7	Q8TAM2
P54253	P63279
P54219	Q9NUH8
P55316	Q04741
O15499	Q2WGJ6
P25705	Q00325
O60573	Q9H257
Q969Z0	Q9H400
O15393	Q9Y342
P39019	Q9Y2P8
P05112	Q01113
Q8IYB3	Q9BZJ0
P20618	Q6NX45
P21554	Q99685
P62241	Q9NYH9
O60573	Q9HBH9
Q3KP44	Q9NYB9
Q8N2H3	Q92624
O95059	P78346
P62875	Q15543
P24534	P26373
O75031	Q16649
Q07020	Q5JVS0
O95479	P11413
Q15054	Q9NYP3
Q96G21	Q9ULX3
P10275	Q5VZ18
P11912	P46695
Q5TD97	Q9Y2H0
Q15382	Q96S15
P36382	Q16617
P13473	P41222
P61221	Q8NI36
Q96S52	Q9H490
Q08426	Q6ZMJ2
O75396	Q8TBP5
O60512	Q9BYG0
P00480	Q04446
A8MQ03	Q6ZSJ9
Q12824	Q9H8M2
Q17RB8	Q6NX45
P50914	P62854
Q5JST6	Q8NEH6
P01270	P18509
O75791	Q9H400
Q8N442	Q9HA92
Q75T13	Q96FM1
O43586	Q96B02
O43609	P49639
Q15831	Q8NFZ5
P26447	P60903
P56945	Q13418
P28070	Q13200
Q9NP98	Q9NZC7
O75683	Q15528
P62851	Q8N1G4
Q8NES8	Q9H1M3
O76021	Q9Y2X3
P31939	Q86XF0
Q16739	Q9HA82
Q86WV6	Q9NSU2
Q5XKP0	Q9P0J0
A0A1B0GUV7	O95478
P46926	Q06210
O60739	P62273
O15498	Q8WTW3
P19883	Q9UK05
Q8TDW5	Q96PX6
O00217	Q330K2
Q92643	Q969N2
P22301	Q01113
O95573	P50897
Q92966	Q9BPX1
P01275	P08588
P25205	P35244
Q53EZ4	Q8NA61
Q6NUS6	Q6UX40
Q7Z2W9	Q96GC5
P01584	P16284
H3BMG3	P26641
P01106	P13010
P22090	P55010
P62277	P62424
Q96D03	Q9H299
Q7Z7G1	Q7Z7G1
P23919	Q9Y5B8
O95817	P48643
P10415	Q14457
Q96BA8	Q9NQQ7
P25786	Q9Y5K5
O15160	P36578
O75448	Q13889
Q6ZNE9	Q7Z699
Q8TBM7	Q9BY50
P01135	P11362
P02749	Q13790
O14579	Q8NDZ4
P80108	Q9Y2B2
O00541	Q9Y3B9
O76031	Q9BT56
O00566	O75683
Q5TGY1	Q9UBQ0
O15160	P62829
P08708	P27635
O43709	P62263
P55072	Q9UNN5
O43824	Q9P015
Q9BRU9	Q9NV06
Q96MP8	Q99750
P26367	Q9H6I2
P78371	Q99471
O95926	Q9BRX9
P26951	Q8N2H4
P51685	Q92583
O43482	P52435
O94864	P61964
P49675	P51843
P13591	Q12918
P05067	P98082
P49406	P62266
P62851	Q9BYD3
Q13490	Q14790
Q04864	Q9UJV3
O75425	Q8TDT2
P59826	Q96HA8
Q12797	Q8TD86
O76081	Q9UGL9
P03971	P05093
Q12951	Q13526
P60468	Q9NZN8
Q8N442	Q9P0M9
Q7Z3B4	Q9UJW9
O15169	P49840
P05177	Q16678
O60762	Q9H3H5
Q8N680	Q9UID6
P15927	Q9NZC9
Q15025	Q99816
P01732	Q14624
P0CG48	Q15291
Q53EZ4	Q8TAB5
Q9P1Q0	Q9UP83
Q8N5N7	Q9Y291
Q9NR31	Q9NVV5
Q8WVC0	Q96EB1
O94972	Q8N8B7
Q9H0W8	Q9NPI6
P32969	P62851
Q9NTG7	Q9UBK2
P83876	Q96DI7
Q13438	Q9Y4L1
P07204	P07204
P02765	P02768
O14880	P05090
Q86WT6	Q96DX7
Q969U7	Q9Y3I1
P19387	Q16594
Q99442	Q9UEW8
P04637	P63279
Q9BQC3	Q9H2P9
P10275	Q6S5L8
Q6IN84	Q969Y2
Q13405	Q9NWU5
O75348	Q96HA8
P25791	Q9BXF9
O75439	P08574
O14901	Q9H410
Q8TBB1	Q9P286
O00255	P01350
A8MZ26	Q06432
P25705	Q9HA92
Q9NZL4	Q9P0J6
P05067	Q5HYA8
O14653	O14662
Q7Z699	Q8WVD3
Q969S3	Q9BZE4
Q8TC92	Q8TC92
P08709	Q9UNN8
P20809	P42701
Q86U38	Q9GZL7
Q9BWF3	Q9BWF3
P20749	Q92905
P61353	Q99832
Q8IXK0	Q9NYG5
Q13263	Q8NC26
P41222	Q9UHD9
O14979	P09234
Q12797	Q96NZ9
Q8N9Q2	Q96MF2
P61106	Q7L8J4
O75909	P51946
Q14442	Q14442
Q14657	Q14657
P00558	Q16875
Q14137	Q9BXY0
P25789	Q9UBB9
Q6NUQ1	Q96MY7
O95249	Q8WTW3
P56381	Q9UBR2
P48200	Q96LD8
Q9NQZ2	Q9Y2X3
P37231	Q13950
Q15125	Q9H0R3
P19544	Q9UGI0
P31350	Q13148
P35268	Q9NVV9
P62917	P62917
Q8TC29	Q96E40
Q53G44	Q9P0M9
P49458	P62847
O15160	Q15041
Q6PJ61	Q6PJ61
P32245	P81133
Q9BZE4	Q9ULX3
P19438	P60568
O14521	O75251
O43290	Q9Y4Y9
P62906	Q5T1N1
A6NEM1	P17041
P53602	Q16850
O14744	O75626
Q9H8H0	Q9NRX1
O95363	Q9UGM6
Q53HI1	Q8TDT2
Q53GS7	Q9UNE7
O95278	Q7L775
Q8WUZ0	Q9H8M2
O75602	Q9UL16
P01148	P10275
Q7Z769	Q9H0Q3
P30519	Q13520
A0A1B0GUV7	Q15029
P39748	Q9Y620
O75822	P82664
P17861	P49207
Q04323	Q96CS3
O75390	P53007
Q15543	Q7Z7C8
O15173	Q96JF0
P82933	Q96BP2
O00442	Q9H2P9
O00303	Q13148
P50553	P50553
P63173	Q9BYD3
Q9BS91	Q9NTJ5
P11912	Q7Z3Q1
P35998	Q8TAA3
Q5U5Z8	Q5U5Z8
P30086	Q9P0M9
Q15024	Q9Y2X3
Q13427	Q9BRG2
Q8TBX8	Q9NRR6
A0A1B0GUV7	Q8N8Z8
O15304	Q8NEC5
P49748	Q9NTG7
P38919	Q8IYB3
P49411	P82930
Q6NSX1	Q6NSX1
O75031	Q9NRU3
B0YJ81	Q6PRD7
Q8N5A5	Q8TBB0
P01584	P25445
Q92901	Q9H2W6
Q12933	Q5GFL6
O95295	Q9UPT5
P04141	P40225
O43524	P23443
O00591	O75899
O00231	O00233
P56192	Q9UII2
Q16653	Q9BZS1
O00253	P20382
Q13084	Q92665
P54578	P61289
P62280	Q969X6
Q7Z699	Q8WY64
Q9NWT8	Q9Y291
Q6NSI4	Q8IVD9
A2RUB6	Q9H0D6
P62269	Q9NV31
Q15269	Q9NPD3
P10275	P46937
P30556	P30556
Q3B820	Q9UBB9
Q9NRX6	Q9NV29
Q8IYX4	Q8WY41
P61970	Q9BWC9
P61247	P61313
P30291	Q9H0E7
O43920	O43920
O75616	Q8IVS2
Q15004	Q9HBM1
Q8N5M9	Q99675
P34910	P42857
O60573	Q5T124
P78345	Q9Y221
P25705	P62841
P38432	Q9H814
P07988	P32927
Q16610	Q86UW9
P34741	P41271
P05112	P13232
P60059	Q7RTN6
Q16774	Q9BZV1
O43805	P53350
P28070	Q99697
Q13501	Q13501
Q96F05	Q96F05
Q13564	Q8IWE4
Q8WXE1	Q8WXE1
P60568	Q5VWK5
P10145	P35354
P46776	Q13347
P62318	Q9UHX1
Q96RP9	Q9Y399
Q03828	Q9C0E8
P43246	Q13216
Q15125	Q96BA8
Q13148	Q8WXK3
Q8IX90	Q8IX90
P62913	Q9BQ67
P46777	Q00987
Q3SYA9	Q3SYA9
O43684	P78396
P16070	P34810
P42679	Q9Y5Z0
Q9BV38	Q9NV06
P46777	P63241
P05090	P10909
O15496	Q7L5N7
P42677	Q9Y266
P53041	P78371
Q13520	Q9NRZ5
P62753	Q9NY61
P52306	Q13206
Q96GA3	Q9NW13
O95183	Q96RD7
Q8WWH5	Q9NW13
P55081	P62316
O15259	Q5HYA8
Q8NI36	Q9Y2P8
Q8IYT4	Q8TBB1
Q13616	Q9NXK8
P17931	Q9BXN2
O00295	Q6P1J9
Q5VIR6	Q9H9E3
P13073	P99999
Q13227	Q16633
P14920	P14920
Q01658	Q14919
Q71RC9	Q8N0V3
P62857	Q9NV31
P02760	P61769
Q8N813	Q8N813
P05198	P17861
P40225	P49771
Q86V81	Q9NX07
Q8N6K0	Q9NRQ5
P03372	Q08050
Q15125	Q8NHS1
Q6NUQ4	Q9NVH0
Q2TBE0	Q9NW64
O14579	Q13190
A6NJV1	Q9Y5B8
O75400	Q9NQ89
Q15542	Q5H9L4
P25788	Q96MZ4
P62753	Q9ULC4
P20042	P68400
Q6YN16	Q969V6
P52657	P62875
P05166	P26440
P49406	Q14197
O95169	P36542
P01303	Q99705
P01375	Q92583
Q6IAA8	Q8TEV9
P01106	Q16254
Q8WYR4	Q9UI46
Q4U2R6	Q9Y2R5
Q4FZB7	Q9Y6K1
P49760	Q9BRL6
P46527	P98177
O95167	P03901
Q92917	Q9P2M1
P03923	Q9UI09
Q16630	Q92945
A8MUP2	O75716
P40429	P62241
P34913	Q6DHV7
Q6QNY0	Q6QNY0
P21953	Q8WU90
O75380	Q9UDW1
P22090	Q5T653
Q9NTX9	Q9NX04
Q9P2W9	Q9UEU0
Q3SXY8	Q969K7
P28070	Q16401
O95166	Q92636
Q96EH3	Q9BYC9
P06744	Q04446
P62906	Q96T21
P35354	P43115
Q13352	Q9BS16
P47712	Q7L5L3
P01033	P10451
P00505	Q5I0G3
Q9UK73	Q9UK73
Q8TDN6	Q9H089
Q92890	Q96LB3
Q9BRU9	Q9UJV3
Q9BQ67	Q9Y2P8
P16871	P25445
Q13416	Q9UPZ9
P42568	Q9GZS3
P15104	P49915
P61619	Q9NRX2
P04818	Q9BZD4
P28907	P40225
P01579	Q9NZQ7
Q6J272	Q9BQY4
P19447	Q9NX70
O60609	P56159
P51674	Q5T9L3
Q96A57	Q9Y6H1
Q9NY26	Q9Y5K1
Q3SYG4	Q3SYG4
O95231	Q04727
P10589	Q00403
Q6W5P4	Q9NZM5
P46781	P62249
Q13438	Q9UKV5
Q8WWU5	Q9NPI8
P13682	Q9Y4X5
O95295	Q96FH0
P55769	P62829
Q9C0J9	Q9C0J9
P09669	P22695
P19387	Q6W5P4
O75251	O95178
Q7Z7C8	Q96G25
P22695	Q6YFQ2
O43747	Q3SYG4
O76031	Q9H078
A2IDD5	Q0VD86
P0CG21	Q8WY64
Q969R8	Q96MD2
O15318	P61218
Q9H0D6	Q9NQG5
P36578	Q9NX58
Q9UPQ8	Q9UPQ8
P18848	Q3MII6
P25705	P28331
Q15056	Q96EF6
P42766	Q6DKI1
P06307	Q9UK76
P32320	Q9NWZ5
Q8NI77	Q9BS16
P09234	P62304
A2RTX5	P56192
Q92979	Q9Y2X3
P32969	P62875
Q92466	Q9UBW8
Q6UX27	Q8TBE3
P35222	Q9HB71
Q86TB9	Q96F86
Q14847	Q8TDS5
Q9HD33	Q9Y6G3
Q86UL3	Q9Y679
Q13418	Q13418
P62841	P62917
P46776	Q8IYK2
Q03933	Q9NRD5
O95498	O95498
O60763	P55735
P11487	P16284
P36578	P82912
Q8IW00	Q9Y680
P05161	P63244
Q9BRT6	Q9BRT6
Q96FX2	Q9H9T3
P0DMC3	Q9ULZ1
P55081	Q96A72
O75845	P56937
Q9HCG8	Q9NW64
O43526	Q9NZT1
Q12834	Q8NCD3
O95817	P50991
O15232	Q14050
P53350	Q13042
P62318	Q9BRD0
Q99661	Q9BXS6
Q2TAC2	Q6NUQ1
Q92985	Q96A33
Q08345	Q08345
P38936	Q99741
O14920	P19438
O60508	Q14320
P49458	P60059
P15260	Q969D9
P18074	Q2YD98
Q02543	Q02878
Q6PI77	Q6PI77
P13639	P52815
Q86WC6	Q86WC6
P21583	P28906
Q8NFT6	Q8NFT6
P0CG48	Q9BYM8
A5D8V6	Q13351
Q9H987	Q9H987
Q96BT7	Q9BT30
O43809	P14373
P46776	P60468
Q15061	Q9NV31
O15499	Q969E8
Q13585	Q7Z3I7
P82664	Q16540
O75964	O95298
Q7Z3B4	Q96KN3
Q5T700	Q9BSE2
P56537	Q96C10
P18077	P60866
Q8NAT1	Q9Y5P6
P08621	P62306
O14925	Q9Y5J7
Q12988	Q9UBY9
P02655	P55056
P46779	P80217
O95639	P62136
Q01638	Q2HXU8
Q9UBB4	Q9Y2L8
P49368	Q96SF2
Q9BYD2	Q9Y676
P62308	Q92917
Q96IK1	Q9C005
A9UHW6	Q9BQ89
Q96FW1	Q9UMF0
P62888	P83731
O14775	P51946
P78396	Q13257
P62280	Q9Y5J1
P19447	Q66K66
P13639	Q9UKD2
P51608	Q8WWW0
O75414	P22413
P55081	Q8WWY3
O95848	Q8TBB1
Q15063	Q9BXN1
P38646	Q9Y5T4
P51572	Q9BUN8
O60260	Q9NVX7
Q86TJ2	Q96BN2
P03897	P56181
Q9ULX3	Q9Y221
P82675	Q8IXM3
Q6P1W5	Q8IYR0
P15248	Q08334
P17643	Q14956
P51948	Q00403
P09601	P11912
Q96AP0	Q9BUR4
Q08J23	Q9Y3T9
Q96N21	Q9UHB4
Q15049	Q9UBB4
P06753	P08588
Q15459	Q96F63
Q6BDI9	Q96E17
O00623	Q92968
Q5VTH2	Q9BXF9
Q6NXT4	Q6PKX4
Q96IW7	Q9H169
Q96C86	Q9UHB4
Q7LBR1	Q9Y448
Q8N998	Q8N998
O00471	Q96NE9
O15205	Q13200
P61966	Q9BV40
Q16595	Q99798
O60760	P15018
O00231	Q6ZVN7
A2RU14	Q9H6L2
O00220	Q12933
P22695	P28331
Q63ZY3	Q8TDC0
Q8TBM7	Q9NW97
Q9GZQ4	Q9HB89
P18405	P18405
Q9HBX9	Q9Y5Q6
O43290	P55081
P15880	Q9Y450
P59991	Q9BRX2
O95299	Q16718
Q5SR56	Q9NUM3
Q9BRT9	Q9BRT9
P61081	Q9Y3C8
P49863	Q13241
P10636	P43004
Q08AG5	Q08AG5
Q96EG3	Q99750
P62750	Q12906
O95429	P49639
P09622	Q9NRN7
Q9BUL9	Q9BUL9
P81534	Q8WWF3
P10244	P24385
Q14197	Q9H2K0
Q99598	Q9NW75
P61978	Q9BTL3
Q8N6K7	Q99732
P46781	Q92901
P00966	P51810
P50222	Q6FI81
Q9UKT8	Q9Y266
O95872	Q96N21
Q5JTZ9	Q9HA77
Q3KNW5	Q3KNW5
P52907	P61158
P62805	Q16594
Q96D03	Q9Y5B8
A0JLT2	Q9Y3C7
O95971	O95971
P60468	P62753
P62318	Q9NY12
P0DPK4	P21549
Q8N8Q3	Q9NZB8
O00204	Q96D03
P00750	P14780
P01106	Q9Y6K1
Q6YN16	Q9NTX5
P17947	P37198
P22676	P26367
P14406	Q16718
Q8N6Y0	Q9BT78
Q7Z3Q1	Q7Z3Q1
Q13405	Q96A35
Q8N1Q8	Q8N1Q8
Q15742	Q8IYI6
P39748	P40938
A2RTX5	Q9BQ95
O00231	P35998
O76083	Q02153
Q8NDD1	Q969X6
O15160	Q9BVN2
P41223	Q15428
O14561	Q9NUL7
Q13510	Q16880
P50402	Q9BSJ6
Q8NHQ1	Q9Y228
Q53GT1	Q9UJP4
Q969T9	Q969T9
P62277	Q2NL82
Q8N7M0	Q9BQI5
P05112	P25942
P35503	Q8WZ04
P61247	Q5JVS0
Q9H9Y4	Q9HCN4
Q6DKK2	Q9H788
P10912	P41159
Q14781	Q8N9W6
O95229	Q9BVL2
A5D8V6	O15496
P0CG48	P57075
Q6IPU0	Q96H22
Q13148	Q9BUJ2
P62424	P80217
Q2TBE0	Q2TBE0
P62899	Q9UM00
Q8IYB8	Q8TCS8
P46087	Q9BQ67
Q5VVM6	Q9NVE7
P15880	Q13347
A8MQ03	Q8WWY3
Q9BYN8	Q9Y2Q9
P62841	Q9UI30
Q9H019	Q9NX04
P38919	Q96DI7
O43281	P21549
Q6ZT89	Q6ZT89
Q13435	Q9BZJ0
O14777	Q9GZM8
P09012	P09012
Q13601	Q96D46
P25398	Q13601
P10636	Q9HC96
O75251	P36542
Q8IYS2	Q8IYS2
O75390	Q96RQ9
P60201	Q8NC24
Q86X55	Q9GZV8
P62906	P62910
Q9BTT4	Q9H8W5
P62249	Q969X6
Q86WT6	Q9BQ89
Q8IVT2	Q9H0A9
Q8IWT0	Q9BVC5
P0DPB6	Q9UBK9
Q92870	Q9NPJ8
Q9H8H2	Q9NYH9
P03897	Q9BXM7
P50914	Q6RFH5
O15155	P48444
O43561	Q8N183
Q8WV22	Q9H668
P00390	P10620
O00399	O94811
P55085	Q9NRA0
Q8TAI1	Q99750
Q7Z5P4	Q969S0
O15514	O95402
P05388	P62241
P51398	Q8IVS2
Q7L273	Q8WVV4
Q86TS9	Q9HD33
Q07108	Q08116
P22301	P25942
Q5MJ10	Q5MJ10
Q96GN5	Q9H257
Q96DP5	Q9Y673
P39019	P61247
P0CJ85	P15172
Q14201	Q14201
Q30KQ5	Q30KQ9
P03372	Q9UBK2
P01730	P32302
O15235	Q6DKI1
P40337	Q15370
P62750	Q9BYD2
P16499	Q00LT1
Q8TEA1	Q9NZM5
O15287	Q53GS7
O95166	Q8WXU2
P05231	P16410
Q8IWT0	Q92499
Q53F19	Q53F19
O60921	P35250
Q15645	Q8NCD3
P03923	Q9P032
O76024	Q9NUL5
Q08945	Q9NTX7
Q02297	Q8N5M9
Q96D46	Q9BVS4
P63220	Q969Q0
O43463	Q96EB6
P62269	P62906
P28331	Q5TEU4
Q8WZ82	Q9BQC3
P51809	Q01113
Q9NVU7	Q9Y3B9
O15381	O60832
P22735	Q13835
Q7Z4G4	Q9UHG0
P61927	Q9BZE4
Q676U5	Q9NT62
P60174	Q12996
P46777	P57772
P28328	Q8IYB4
Q9HBJ8	Q9HBJ8
P07954	Q99814
A8MQ03	Q969G3
P52747	Q96EK4
O95183	Q5JX71
P62753	Q8NBZ7
Q6UWB1	Q9NPF7
Q9NVN8	Q9Y221
P00742	P00742
P60900	P62875
P14635	Q16667
P05161	P22090
Q15007	Q86UC2
Q2TBE0	Q86VP1
P78317	Q96K80
O95352	Q9BXW4
Q6ZT21	Q8NHS1
P09661	Q8IWX8
P23396	Q8N9N8
Q5VTH2	Q96M98
P61313	Q8NA23
P08574	P15954
P29350	Q9UKJ1
Q9BUQ8	Q9Y4Z0
Q00796	Q7Z4W1
O75934	Q9BWJ5
O75616	Q9NVS2
Q9NSC7	Q9NY28
P31948	Q8WXX5
O14874	P21953
Q5VU69	Q96M91
P82675	Q9P0K9
P47897	Q7Z5V6
Q86WT6	Q86WT6
O43612	P01213
P20062	Q86XF0
P19883	Q8TEU8
O14653	P35606
P11172	Q8WVQ1
O00217	P17568
Q15041	Q6PL24
P41225	P54253
Q0VD86	Q9UI95
O76036	Q68D85
A4GXA9	Q9UQ84
P10515	Q01581
P62857	P62906
P50440	Q13322
P05067	P68400
Q86Z20	Q96MK2
P39656	Q14165
O75494	P55795
O75934	Q8NAV1
Q5HYA8	Q96Q45
Q7Z7H8	Q96BP2
Q53H47	Q86TU7
P78345	Q02543
P49639	Q8TBB1
P18405	Q9H8P0
O00762	O95229
P50542	Q9Y5Y5
P46779	P62424
P21589	P49961
O96008	P38646
O95167	P10606
P13473	Q8IWT0
P05019	P21583
P06748	P19525
P12034	P49767
Q16864	Q16864
Q9HD34	Q9Y3E2
O95715	Q07325
O60716	Q15223
O43561	P78314
O14757	P43351
P05112	P24394
Q7LBR1	Q96FZ7
Q16667	Q9BT92
P42081	Q9NZQ7
O15213	Q9NYH9
P24534	Q6DKI1
O43913	P33993
Q8NBW4	Q9Y2Q5
P62277	Q99558
P12644	Q07687
Q9H4K7	Q9NRX2
P52655	Q71SY5
P11912	Q9UEU0
Q8WYA6	Q9UNP9
Q96DE5	Q99728
P06280	Q99519
Q8NA23	Q9NWU5
P19525	Q14653
P07204	Q9Y320
O95478	Q5T1N1
Q8WV44	Q9P2F9
O43143	Q13838
Q01844	Q13485
O14908	O75558
Q92989	Q9H633
A8K0Z3	P47756
P78316	Q9Y3A2
Q86XE5	Q8NDX5
Q15025	Q92567
O15455	Q9Y6Y9
Q8TCC3	Q9P0J6
P20366	Q8TD86
O75400	Q86YF9
Q9BZE1	Q9Y291
Q13485	Q96PU5
P62258	Q9GZM8
Q13084	Q9BZE1
P17568	P20674
P03372	P14859
Q16619	Q16619
P46782	P61247
O95562	Q9BT40
P27449	P38606
O43281	Q9BXA7
Q8NEJ9	Q9GZL7
O94762	P19388
P84090	P84090
Q8N3R9	Q9Y2H0
O00217	P03886
P04233	P13501
Q14155	Q92888
Q9UJZ1	Q9Y2R9
P62263	P82933
Q969U6	Q9NZJ0
P01286	P20396
O14788	P01100
P03372	P62952
P52298	Q13769
Q86SE9	Q9UQR0
P22301	P24394
P61421	Q96A05
Q8WWR8	Q99999
P42127	P81534
P62280	Q9NX20
P62829	Q96A35
Q68CZ6	Q96CS2
P19961	P46976
P40337	Q8NFB2
P14678	Q9UK45
