P81760	Q9SR70
O22229	Q8VWG7
Q9FMX2	Q9LNW3
Q6F6B5	Q9XII1
Q84R11	Q9FLN4
Q945M9	Q9FLZ9
Q8GY55	Q9LVI4
B0M1H3	Q8VY76
Q39103	Q9LVG2
O82234	Q9SX55
Q8VZP6	Q9ZUM0
P35510	Q9S7H8
Q5HZ00	Q9C6T1
Q9M8L3	Q9SZG3
Q1PF16	Q9FGE9
Q84Y95	Q93WX6
P61841	Q9XJ27
O65090	P56799
P51412	P93014
Q43349	Q9XF91
Q8S2T0	Q94KD3
P42736	Q9MA55
P42738	P57720
P56788	Q9LU01
Q9LU10	Q9SXJ6
P0DH85	Q9LD55
O24600	Q9S7Q2
Q9LIE5	Q9M2N5
F4IK45	Q9SCP6
P26568	Q9LSK9
O24621	P56761
P93829	Q9ZQ47
Q84J62	Q84JG5
P56797	P93311
Q8LDU4	Q93ZB6
Q8LCA1	Q8W0Y8
Q940B8	Q9FG37
O82798	Q3S4A7
Q9M2U2	Q9XI33
Q8L9K4	Q9FKQ9
P56751	P61847
P56759	Q9SKX4
O80931	Q6X7K0
O82660	P56777
P56788	P61843
P92550	P92563
Q8GUP1	Q9M9G6
O81414	Q9LUP8
P56806	Q9M1X0
F4K6X0	O22137
P16180	Q9M0V4
O80796	Q1KPV0
O80842	Q38885
P56754	P56777
Q9SU29	Q9SUP6
Q8GWA7	Q8VY16
P56770	P56777
F4KDF5	Q75QN6
Q8L6Z4	Q9SYL9
P56805	Q94FY7
Q9MAN1	Q9SD40
P13114	Q42600
Q9C744	Q9M1K5
F4HRV8	Q9LTH9
Q0WPK4	Q9SZF7
P93014	Q9FKP0
Q9FI78	Q9LQ12
Q9FV53	Q9FWS4
P56805	Q9LFE2
Q9LK09	Q9ZSD4
Q42536	Q9LX31
Q8GY61	Q9ZQH3
Q9FKR9	Q9ZWA1
O82499	P56801
F4IMQ0	Q67Z93
Q9LJB7	Q9SYM2
Q9FM80	Q9SIC9
A6QRA1	Q8RWD7
Q9FLN4	Q9SZD6
F4IK01	Q9M350
Q38837	Q9LSB2
F4JF14	Q9SJW9
Q6NQJ6	Q9SJF3
P56796	Q9FLN4
Q9LW07	Q9MAT6
O22229	P92979
Q946Y7	Q94CG2
Q75QN6	Q84MD6
P49077	Q05728
Q9FJF4	Q9LME6
Q9C616	Q9ZTX9
O50061	Q9SKX4
P56774	P56801
Q8VWQ4	Q9SZG3
O04046	Q9CA67
Q1PEY6	Q941C5
O22265	O80842
P57720	Q8VYJ1
P48421	Q9LYR0
F4K6X0	Q9FL87
P93014	Q9LD55
Q8L9C4	Q9M2U2
Q9C7S1	Q9FJ70
F4JRC5	Q5S502
Q93ZW0	Q9FFT4
F4KAS1	P92994
B9DG24	Q6NLV4
Q9ZQH2	Q9ZQH2
Q9FZD1	Q9SY69
P25873	Q9SYL9
Q941D6	Q9MAT6
Q8LCA1	Q9SGH4
O64903	Q8VZ74
Q56XE8	Q9SIK1
Q6NPF9	Q9XFH4
F4I241	Q9M3B4
Q8VYD4	Q9M0Z3
O50061	Q9FJP3
P56782	P93311
P56760	P56801
Q9C4Z7	Q9C4Z7
A0MES8	Q06738
Q9SUU5	Q9ZU25
O81208	Q8GSJ6
O49562	Q9LT68
Q681N2	Q8L7A0
P56798	Q9FWS4
Q6ICY4	Q9M647
P93311	Q8RXX5
Q94BP7	Q9SUH5
Q3ECU1	Q8L9H6
P25873	Q6NLP2
P93755	Q9FKR9
P09468	P56756
P56771	Q94K78
Q75W54	Q9FKK7
Q9C518	Q9FME4
Q9FHJ6	Q9ZQ19
Q39219	Q94BV7
Q9FLI3	Q9SJW5
Q6X7J9	Q6X7J9
Q9LYP5	Q9M8Y4
O23487	Q9S818
O80770	Q8LCQ3
Q8VY27	Q8VY27
O49675	Q8S9K3
P56771	Q42029
Q8VY64	Q9SIT9
Q9CAF9	Q9SAI5
F4HPA7	O23215
O49603	Q8L3P4
P56763	Q9LRN8
Q0H8D7	Q38961
Q9C9W9	Q9M0R0
Q9FMD5	Q9SVC4
P56807	Q38885
Q9C7S0	Q9FIW5
Q1PFR7	Q9SJN0
Q9LFE0	Q9SRD0
Q93ZW0	Q9M9K1
Q9ASS4	Q9ASS4
Q9FV53	Q9XJ27
Q940Q3	Q9M647
F4K265	Q9M1Y0
A1A6M1	P31170
O04196	Q94A41
O04203	Q944A6
Q8LEG1	Q9FN69
P92516	P93308
Q8LFJ8	Q9FT72
Q6IM84	Q6IM86
O04310	Q9LSB4
P42732	Q94FY7
Q9FE46	Q9LFJ8
Q9C587	Q9ZQH2
A0A178VEK7	F4K4R6
P56772	P56790
Q8L4Y2	Q9LZA6
P42732	Q9LFE2
O82387	Q3ECR7
Q84VW9	Q9SAU2
Q9LFP6	Q9SHL8
C4B8C5	Q8H0Z6
Q9SKY8	Q9SYG1
P92959	Q9SJ41
O22823	Q9SJF3
Q500V9	Q8L557
Q9FY50	Q9LK61
Q84MB2	Q9SGP6
A1L4X0	Q9LT68
Q9FN11	Q9LS00
P56797	Q8RXX5
O23593	Q9SJ41
Q9FN69	Q9LTF7
Q9ASX9	Q9FGB0
Q07356	Q9XFS9
P42804	P42804
Q38893	Q8S8P7
P31414	Q9SGQ0
Q8L3P4	Q9LEZ4
Q9FQ19	Q9S7T7
O22795	P56805
Q9M9Z2	Q9STE8
P56792	Q8VY91
P56765	Q95695
P93298	Q96250
O04420	Q94AP0
O81635	Q9SJT8
Q8S8E8	Q9LD55
Q4V399	Q9FGR7
P93318	Q33884
P56798	Q9XJ27
Q9SFB0	Q9ZUA5
Q9M8Z5	Q9SAI5
Q9SA60	Q9T070
O23413	Q9FLX8
P56777	Q95695
O22795	Q9FKP0
P56805	Q9C8F1
O24606	O24606
P37107	Q9FWS4
Q9C6J3	Q9LM73
Q9SUS1	Q9SW21
Q1G3V9	Q9LFT5
P0CC33	Q84WN0
P82716	P82717
P56772	Q9S834
P42804	Q9SW18
Q9S7P9	Q9SEL5
P92544	P93298
O23049	Q9MAP3
Q9SB92	Q9XFB1
O65312	Q8L7T6
Q8W034	Q94C69
Q9S745	Q9SUT5
Q9C6A1	Q9ZUZ6
Q9LZW2	Q9SKY9
P36211	Q9SZD6
Q9FIM0	Q9LM46
Q9LY66	Q9T0D7
O64470	Q84P23
Q93WJ9	Q9SB92
O04130	Q56YA5
Q43386	Q94EH8
Q9SCY3	Q9SCY3
F4KCE9	Q9FWS4
Q5M731	Q9SRE0
Q940P5	Q9C8E6
Q8W4G3	Q9LUH2
O82355	Q9SA57
Q8L735	Q9MAC8
O24629	Q9LDH1
Q8VYT3	Q9ASS4
F4IRW0	Q8LEK2
F4KB17	Q9M0V4
Q8RXX5	Q9FWS4
Q8GW20	Q9XIK3
P82763	P82795
Q84JG5	Q9M8X2
O04351	P48000
P26288	Q949Q5
P93014	Q8S9L5
P82873	Q9FNC9
Q8GZQ3	Q9C8F1
O82660	P56778
O82175	Q9M548
P26288	Q9XI73
Q9XI19	Q9XI19
Q9FNJ8	Q9SIE1
P56754	P56778
Q1KPV0	Q9XII1
Q38827	Q9ZTX8
P56770	P56778
Q9XEE6	Q9XEE6
P31414	Q84TI7
O65312	Q8GUI6
Q9LZW2	Q9S7T5
Q9M9Y8	Q9XFS9
P26288	P56792
Q93YZ7	Q9SLN1
Q8L638	Q9SYB5
Q1EC69	Q39227
O22315	Q8GUL2
P56777	Q9ZR03
Q8L7W0	Q8L7W0
O78310	Q9ZR03
P93014	Q8L6Z4
Q94CD4	Q94CD4
Q9LXR8	Q9SX26
Q38827	Q38827
O22763	P94077
O64471	O64479
Q9SHE8	Q9SUI5
Q84VX3	Q9SLB6
P56796	Q9SYL9
Q42581	Q8LAD0
Q3ECH9	Q6ID76
F4JF21	Q9M7X9
Q8GWE6	Q9M8T6
O82258	Q9C503
Q6DBA5	Q9LIA6
Q5BPF3	Q9FHX8
P56751	P56802
F4J117	Q9FLZ5
Q8VY91	Q9FWS4
Q8GWG0	Q9FNA9
Q9FI78	Q9SD85
Q84K90	Q9SKN1
F4KEW8	Q93ZH7
Q8W5B1	Q9LKL2
P31168	Q9SIN5
O80800	Q9SVA5
Q1PEC0	Q93Z04
Q8LD63	Q9LF61
Q8LCQ3	Q9C9U2
Q9LS54	Q9M2P8
P27202	Q01667
O80634	Q9XI73
F4K687	Q9SJM7
Q9LQZ7	Q9LQZ7
Q9STF2	Q9SUI4
Q8LGU6	Q8LGU6
Q8S4F6	Q9SRQ7
Q9FZC7	Q9LP51
Q24JK1	Q9M2U2
Q3ECU1	Q9LXU0
Q8H0W1	Q9FMD5
O22607	Q8L3W1
O23717	Q9SAD7
O81014	Q38802
F4I312	Q94KJ7
P56792	P56798
Q9C9U2	Q9LY91
O23095	P93014
Q8RYD9	Q8RYD9
Q84VX3	Q9SLB7
O80634	Q9S720
P26288	P56751
Q9LUS7	Q9S756
P42732	Q9C8F1
O64583	Q9LVW2
Q9LRN8	Q9M9H4
O24646	Q8L5W8
Q8VZU4	Q9M8X2
Q8VWK4	Q9FFR6
Q9M9B4	Q9SW21
Q8RXR2	Q9M1T1
Q9AT00	Q9ZUT3
P56763	Q9SJ41
O04603	Q9FV53
Q8LFJ8	Q9ZQH2
Q8LEV3	Q940R4
P56799	P56801
Q4PSK3	Q9SL94
O24600	P56777
Q8RXX5	Q9XJ27
P38025	Q84P17
O04609	Q9SW21
Q9FLX8	Q9T070
O23049	P51412
P39697	P56804
Q38833	Q9SB50
P56762	P56795
Q9C9W9	Q9SNB4
Q1G391	Q9M160
F4IPE3	Q8L925
Q84MD6	Q9LS42
Q9FY50	Q9MAP3
O49603	Q9ZVT7
Q949X9	Q94CL7
P26288	Q9T0A4
Q8H1U5	Q8H1U5
Q94CG2	Q9LRP1
Q9SJT7	Q9SZ13
P92550	Q04613
O04603	Q84JG5
Q9SIV0	Q9SIV0
F4KH86	Q8GWP5
O64764	Q9M7X9
Q93Z70	Q9LIR4
O04609	P56754
O22795	Q9LP37
O82462	Q9LJE2
F4JSV3	P16127
Q38833	Q94AQ9
O23049	Q9M0E2
Q8GW78	Q9LF37
O80634	P56751
Q1H537	Q93ZB6
Q3ECY6	Q945S8
Q9LSW2	Q9SUP7
Q941D6	Q9SRV2
Q9FL26	Q9M9F0
Q1EBV7	Q9FMF7
Q9FNY0	Q9SJW9
Q9FHM4	Q9SI61
Q7XJK6	Q9FKK2
Q9C5U8	Q9M041
O82387	Q9SYM0
Q8VY91	Q9XJ27
Q3EBF7	Q8VYI1
O22795	Q9FY50
F4IXN6	Q9LUG7
F4KIX0	P56759
Q8RY99	Q9SX99
Q07356	Q8VY26
P42738	Q9LW20
Q9FMX2	Q9S7W5
P16180	Q38885
Q9FGJ6	Q9LK31
Q9LFP1	Q9M8L9
Q84MC0	Q8GUI4
P55826	Q93ZB6
P56758	P56806
Q7FGZ2	Q8L3P4
O80634	Q9T0A4
Q94B35	Q9SGU9
Q9LPJ2	Q9LW15
Q8L7L5	Q9LZS0
Q5XV33	Q8L7R3
Q6AWT8	Q93V47
Q0H8D7	Q9ZP54
Q84JG5	Q9LVC9
O80624	Q9SH58
Q94CG2	Q9LFP1
Q84JG2	Q9FMT4
O49603	Q9LK61
Q93W28	Q9C6D2
P56801	P56805
O65312	Q8RVQ9
P25873	Q84J62
F4JNY0	Q9LPD2
P56752	P56807
Q8LBC0	Q8LCQ3
Q8VZU4	Q9FME4
F4IRB4	Q8S8I4
O82392	Q38814
Q9FG77	Q9M9F0
Q700D0	Q9FV70
O48915	Q39214
Q39194	Q8W0Y8
Q8L8A6	Q93VH6
O65202	Q8GYN9
Q8GYH5	Q9ZVC2
Q9C8J7	Q9ST43
Q9C9Z1	Q9LTH9
Q0WMN5	Q9SX29
Q93W32	Q9FL53
Q8LCQ4	Q9SMS0
P56766	Q8LCQ4
P56802	Q8VY91
Q8LEF6	Q9LZ98
P46313	Q8GXU8
P56756	P56758
P46313	Q9SRQ7
Q8RXN0	Q9M209
Q9M9H4	Q9SAI5
Q94CH5	Q9FMS5
Q8L4J2	Q9M9G6
Q56YA5	Q8VXY9
Q9LYC1	Q9SLH3
O04023	O48713
O49499	Q9S9N9
P56794	P56795
Q42330	Q9C7S6
Q8RVQ9	Q8W4L5
A2RVM8	Q9SSF0
Q84W66	Q945M9
P27202	Q949Q5
Q94F57	Q9FM65
O82660	Q9S714
P56783	P56808
Q3EDI6	Q8W261
F4IB81	O23006
O48772	Q9SVW8
F4K4J0	Q9ZUM0
O03042	P56790
Q8RWV8	Q8VYD3
Q94AP3	Q9FFD0
Q9LPJ2	Q9ZU25
Q9LIE6	Q9M2P8
Q3E9B4	Q9FWW3
Q93ZB9	Q9FVS9
Q9FX77	Q9SB79
Q9FX32	Q9SIK1
P92527	Q8RY59
Q8RWN2	Q9SGU3
Q8GXF8	Q9LK31
P56805	Q9LFV0
P56772	P61845
Q9FMV5	Q9LRH6
F4IDJ0	Q9M8Z5
Q43125	Q6R0H1
P37271	Q56X52
Q93ZB1	Q9SZ15
Q0WUA3	Q3ED65
Q8S9K7	Q9M1J1
Q94CK9	Q9LVC9
Q00762	Q9FL51
O82230	P37107
Q8GXN6	Q8LFD5
Q37165	Q9FG89
P35510	Q9SQT8
Q8VZU4	Q9LVC9
P09468	P56806
Q8GUP1	Q8GUP1
Q9FY50	Q9M0E2
Q38828	Q38828
P0DI07	Q8RYE9
F4I4B6	Q8RWD5
P49243	Q42533
P56759	P56774
Q680Q4	Q8LPS2
O04547	Q8LDN4
P23321	Q9SUI5
O24527	Q8H0W9
Q7X9I0	Q9FIM0
Q0WQF4	Q6NPN9
O82462	Q43314
O82768	Q84JE8
P23321	Q43349
O23049	Q0WTB4
O23052	Q9M8T0
O64903	P56762
F4I3P9	Q84JF5
O65154	O65155
Q94AC8	Q9ZV08
P58048	P82744
Q9LYC1	Q9XFR9
P56777	P56796
Q9LIJ0	Q9STS6
P82622	Q3EDI6
F4J2K2	Q9SZV3
Q946Y7	Q9SEL5
P13114	Q9S818
Q84VX3	Q8H1E7
O22056	Q9LRV2
Q9CAF9	Q9FZ81
Q8GZ79	Q9M895
Q8S8F8	Q9SJW9
Q8VYI5	Q9M9F0
O24646	Q9LKL2
O04603	O23095
F4IDJ0	Q8W4I6
P61843	Q9LVW6
O50061	P36211
P56801	Q9M8X2
A8MQR0	Q9CA04
F4IDW9	Q9SAD9
P56804	Q9LVY0
Q42593	Q9LU86
P56754	P62090
Q8VYV7	Q9CAK8
P56770	P62090
F4KEM0	Q9C587
P23321	Q8LCA1
Q94BQ3	Q9ZU34
P51412	P56805
Q1G3M3	Q8LAV5
Q9FLV9	Q9LS46
F4HTT6	Q8RWY7
O22229	Q9C5R8
P56808	Q37165
Q56YN3	Q9C5W3
Q6LA42	Q84LH8
Q94JM3	Q9ZUU0
F4IMH3	F4JFJ3
O22609	P81760
Q9C7E8	Q9LJB7
Q9S834	Q9SAA2
P56808	Q9FZ81
O23661	Q9FUY2
P56804	Q8L9S1
Q8RXD4	Q8RXY0
Q9C895	Q9LEW0
Q38Q40	Q8H125
A8MQN2	Q9FL48
O64903	P25873
Q8VZ55	Q9SX22
O49290	P17597
Q6STH5	Q9LIG6
Q67Z93	Q84VG7
P56755	Q9T070
F4JH53	Q9FZ70
P46639	Q9LZM8
O80488	Q9FZ24
Q84W65	Q93WX6
C0SV12	Q9CA56
B9DG24	Q3ECP0
Q9LK61	Q9SZD6
P26288	P61847
F4INA9	Q93Y39
Q9LRN8	Q9XJ27
O49347	O80634
P49572	Q8VYV7
Q84WS8	Q8VY74
Q9FNC9	Q9SX55
O22229	Q93WX6
O80809	Q3ECD6
P56752	Q9S829
Q8VZ50	Q9SRP5
Q2V3I3	Q8LC53
P56795	Q9FLN4
Q43307	Q9SJE2
Q8H124	Q9ZR03
Q94F88	Q96286
P56754	P92544
P56762	P61847
F4JMJ1	Q9LYW9
Q9FWS3	Q9SJF3
F4KFC7	Q8LCQ3
Q9SF47	Q9ZV56
O49603	Q9MAP3
P26289	Q9CAC5
Q2V4E2	Q9FLX4
Q9LIS3	Q9ZUY6
O65567	Q3ECP0
Q93VK5	Q9SAC0
Q9FJ79	Q9FPS2
Q9CA36	Q9SZG3
O81032	Q8LE52
Q9FGJ4	Q9LYR2
Q8L7S8	Q8RWS8
C0SVV6	Q9SN89
Q7XJU0	Q9ZUV1
Q7XJK6	Q94B77
Q8H0U5	Q9XF91
Q67ZU1	Q9FGJ4
P56808	P61841
Q0WWE3	Q8H0U5
O49195	Q9LMA8
O22882	P0DN97
P56791	Q9SKX4
Q8S8N6	Q8S8N6
Q84VG7	Q9C5G0
Q8LAX0	Q9ZSS6
F4HZD1	Q8H1S7
Q84RQ7	Q8H7F6
P46310	Q9C5W0
F4J8V5	Q8RUS5
Q84W66	Q93ZH2
O49160	P56799
Q2V3C1	Q9FIT2
P56804	P93286
O82089	Q9SZC9
Q8LBA6	Q9M001
P56778	Q43349
P56804	Q9SB47
Q42600	Q9LFD1
O22208	Q9LM25
O81778	Q9SUH5
Q2V3H0	Q8L7H3
P56778	P61843
O22151	P59277
Q94AY1	Q9S7E4
Q949Q5	Q9SUI5
P56754	P56794
O65426	Q9CAV7
Q9C7X5	Q9FN15
Q04996	Q84WT8
Q3ECD0	Q9CAF9
Q8VZP4	Q9C5D3
Q9LPR8	Q9LYC1
Q93V66	Q94A32
P56773	Q9ZU25
Q6X5Y6	Q9FNA9
Q9FLY0	Q9S7H8
Q9FJG9	Q9ZU27
P16127	Q9SJE1
Q9FYK5	Q9SIB4
Q9FVV7	Q9LUW5
O80683	Q9LIE6
O04203	Q38853
Q8RWA5	Q93Z51
P0DI07	Q8GSJ1
P56778	Q8LCA1
Q3ED38	Q9M9F0
Q9FMY3	Q9LHI7
Q8LDL0	Q8W4D6
Q946J8	Q9SXY0
Q9C899	Q9LU36
Q9FL76	Q9LMN8
Q0WTF4	Q9LPU8
P25864	P56795
O03982	Q9ZUV1
Q681Y3	Q9LUV2
P34791	Q9SSA5
Q07473	Q9M7I9
Q8L539	Q8LPN3
Q8LPS6	Q8VYR5
Q9MAT6	Q9XI07
Q8W5S1	Q94JU3
O81024	Q9SAH5
Q8VXY7	Q9SRK7
Q1HDT2	Q31708
F4I241	Q9SZQ5
Q3ECY6	Q9XI84
Q9FZ35	Q9M995
O82266	Q9M8X2
Q6IWA9	Q9LYU7
F4I082	Q9C7F7
Q84W66	Q9LVJ7
Q9FHM7	Q9LV90
F4IRB4	Q9LSE2
Q39061	Q9LFF1
Q8S2T0	Q9FPS4
Q9C9P4	Q9SL92
P92527	Q9C8T1
F4J8V5	Q93VB2
Q8W4A5	Q944B0
P56801	P61845
P56755	P56779
P56758	P93311
O23708	Q8W206
Q8LE52	Q9FUT0
P93311	Q9LY66
O48528	Q9SQT4
Q0H8D7	Q8RXD4
F4I5Q2	Q8LBQ7
A1YKT1	Q9LSD5
Q38885	Q8LBP4
Q58G53	Q7FGZ2
O49603	P51412
Q84MB2	Q9SQU6
Q9LPK5	Q9SGI8
P51412	Q9LP37
O65090	P42732
F4I4B6	Q9SCS6
Q9S829	Q9S9N6
Q8L4Y5	Q9XI07
Q37165	Q9SHE8
P56766	Q43349
Q9C518	Q9S7W5
Q940V4	Q9SHG5
Q9LU10	Q9SR70
Q9FFX4	Q9XF04
P56766	P61843
Q38885	Q9SKX4
F4JMJ1	Q9LIG0
Q04088	Q9FYF9
Q84JG5	Q9T0D7
Q38933	Q9SAC0
Q8W0Z6	Q9C744
P36211	P92959
Q96323	Q9LU36
Q93ZB2	Q9XFR9
P92519	Q9LS88
Q8GZ79	Q9SZB2
Q9SJW5	Q9SJW5
Q8H0W3	Q8L500
Q5HZ38	Q93YN4
O23404	Q93ZW0
Q949Q5	Q9S7H1
Q9LR74	Q9ZWB4
O49603	Q9M0E2
P17597	Q9FYA6
P56760	Q8L7T6
Q1PEP5	Q8L3P4
P56806	Q9FLN4
P51412	Q9FY50
P56761	P56792
Q94BZ7	Q9FT69
Q9STM6	Q9XI72
P56777	Q9S7H1
Q8L636	Q9LTX4
Q38885	Q9FJP3
Q8GWQ6	Q8RWY7
Q9LP74	Q9XI46
P56758	P56760
P42804	Q9LX31
Q93YZ7	Q9ZW84
Q01909	Q8L7T6
P56766	Q8LCA1
Q8VZ20	Q93VQ0
O49434	Q66GN3
Q9C5M1	Q9FK23
Q0WMN5	Q8GW78
P56797	P56808
Q8VXZ5	Q9SG80
Q5PP32	Q8S3D1
Q1H537	Q38833
P23321	Q07473
O82234	P56795
B0M1H3	Q9ZT63
O49519	Q3EDH8
Q9SAI5	Q9SYM0
Q96329	Q9C7W4
Q84P23	Q9LVF0
P56797	Q9LY66
O22757	Q8RUD6
P23321	Q9SSA5
O23215	Q8LF41
P35510	P42738
Q8LE94	Q9ZUA2
O03042	P61845
A0MES8	Q08298
O80813	Q9S9M8
Q9C5W7	Q9ZUM2
Q93VQ0	Q9C615
O80439	Q9SKX4
Q8RWN7	Q9LYU7
P92959	Q94FY7
Q9LJX4	Q9LK18
Q1H537	Q8S9J1
O80565	Q93WG3
O04491	Q96326
A7XDQ9	F4I6V0
F4I2H2	Q8RVQ9
Q9CAA4	Q9CAA4
P09468	P93311
O81851	Q9LDE1
Q9S745	Q9SWA6
O04609	Q8H0U5
Q9FG37	Q9M350
O24646	Q9LTJ6
A0MFL4	Q8GWL2
O22607	Q9STG3
Q8GUM4	Q9LSL6
Q940A7	Q9C9U2
Q9FMG4	Q9SEU4
Q0WMY5	Q9LVW6
O65685	Q8VZN1
O48676	Q9SPG2
Q9LU68	Q9SKB6
O80634	P26288
Q84L31	Q9M391
Q9ASY9	Q9SRE0
O49347	P56790
Q38854	Q9SAC0
P47735	Q9FL69
O03982	Q9FJH5
P0DMS1	Q9C950
Q8L7R2	Q9LIR4
P55826	Q8S9J1
Q8L6Z4	Q9M385
P56804	Q8RYD1
P93014	Q8RXX5
P56792	P62090
P56808	Q9XJ27
Q9C7X5	Q9LTC7
Q9FZ81	Q9LY66
Q9CAC5	Q9T0A4
Q84MB2	Q9M8Y0
Q8RXS1	Q9SGH4
Q39061	Q9LS25
Q01667	Q9SGH4
O48963	Q9FMF5
Q8W5B1	Q9LHF5
Q8VZ55	Q9SKX4
Q9XFH4	Q9ZQH2
Q8GUL2	Q9FLQ3
F4KI56	Q9FYE5
Q42536	Q9SB50
O22781	Q946J8
Q3EDH8	Q8S8N1
P42752	P42752
Q7X6T3	Q8VYT3
P09468	P56760
O81014	Q9FGC7
O80809	Q9FLX4
Q38932	Q9LMC8
P56756	Q8LCQ4
Q9FK29	Q9LM25
Q8GXB1	Q9ZV24
P56762	P56802
Q8VZW3	Q9S818
O04319	Q93ZT6
P0DKB7	Q0V865
O82462	Q84JG5
Q8GWA7	Q9C4Z7
Q8VZ55	Q9FJP3
Q8LGI3	Q9LUE6
P62090	Q42029
Q42536	Q94AQ9
Q9XFB1	Q9XFB1
F4K687	Q8S8F9
Q9LU36	Q9LVW3
Q9FF98	Q9LSB4
Q680U9	Q9FL54
Q6IWB2	Q9XF04
Q9FHW2	Q9FX99
Q7Y1W1	Q8GZ79
O22873	Q9XGR4
Q8S9L5	Q9LKU2
Q9SX27	Q9ZVC2
Q8LAV5	Q8LAV5
O22264	P92994
O65420	Q9SFD8
O04603	P56806
Q8GWQ6	Q9ZSD4
Q7Y214	Q9S7E4
Q6R8G5	Q94A21
P56778	Q07473
O04425	Q9SR13
P17597	Q8L493
Q8GZA4	Q8LBB2
Q94K78	Q9LV04
Q38897	Q9SB92
Q8LF41	Q8W489
Q9FZ24	Q9ZUU7
Q38806	Q96331
O22229	Q9SL05
Q8LF89	Q8LF89
P56752	P83755
O49292	Q8H1R2
Q9LSP7	Q9LW77
Q9SI57	Q9SJF3
Q9LFE0	Q9SUX7
Q42029	Q8LCQ4
Q71DJ5	Q9LDU6
P56759	Q9LK61
A0A1I9LMX5	Q9FZ54
Q84V03	Q9FLP7
Q8RWD5	Q9FMB4
Q8GSJ6	Q9SSA5
Q9S728	Q9ZUL8
Q8LCA1	Q9ZR03
O03982	Q9C593
Q4V3E2	Q8VZJ1
Q9FT81	Q9ZTC3
Q56XR0	Q9SFZ3
Q8S9L5	Q93VC7
Q94BT2	Q9LR69
Q9LVW7	Q9ZUR7
O22714	P0C896
O22757	Q84WF6
F4IDQ5	Q9FGN8
P39697	Q9M385
Q07473	Q9SYX1
Q9FN69	Q9LVW3
O48726	Q9XIR8
P31265	Q9M8X2
O23661	Q9SA94
Q8W4J8	Q9FUP0
O22265	Q9LKU2
O22213	Q8LBB7
Q8LBP4	Q9SRY4
P55826	Q1H537
Q0WNZ5	Q94B35
A8MPR5	Q7Y1W1
O50061	Q9LK61
Q39108	Q56Y11
P56754	P56801
P56770	P56801
Q9C9R6	Q9FGE7
O81852	P53780
O23049	P56762
O82318	Q6IWB1
Q8VWK4	Q8VZU4
Q9M9B4	Q9ZUX4
O82782	Q9M041
P56794	P56802
P56806	Q9SYL9
Q6DUW7	Q8L928
Q9S818	Q9SZP1
Q56XM9	Q9LYK6
P92983	Q9SZT0
P56779	Q9SUI4
A0SVK0	O82132
Q8L9K1	Q8L9K1
Q9FWS4	Q9LV93
P56752	P56780
O22137	P26288
Q9FEC1	Q9XF91
O23095	Q9M8X2
O82081	Q9FKL2
O80683	Q9LDH1
Q8GY31	Q9FKW0
Q9M385	Q9SZD6
Q8S3D1	Q8S3D1
P56794	Q9ASV6
P56761	P56771
Q84JG5	Q8VZU4
Q9SR08	Q9XIR1
A8MRK3	O48776
P56766	Q07473
Q9C9K1	Q9SUI5
Q8L7S0	Q93VG8
O22151	Q9C615
Q9FE83	Q9SMZ3
Q8RX22	Q8RX22
Q6NLP2	Q93VC7
Q94F88	Q9M548
P54967	Q93ZN9
P56795	P56804
Q8L7R2	Q93YZ7
F4I241	Q9C5G0
P92559	P93298
Q8GUK1	Q9FNB2
Q3ECD6	Q3EDH8
P56773	P56806
P25873	P56805
Q7X9I4	Q9SRG3
Q93VA3	Q9LR64
Q9C5V6	Q9CAF6
O23049	P25873
Q8GXB1	Q9SVC4
Q8L6Z4	Q9FUZ2
F4ILR7	F4KFV7
Q8VZD4	Q9LJ64
Q9LFP1	Q9ZSD4
Q9FN69	Q9LFE2
O04609	Q0WWE3
F4HTT6	Q8VYJ1
P92527	Q941A0
P39697	P56807
Q07473	Q8H112
P39697	P56756
Q9M8Z5	Q9SYM0
Q0WW17	Q9SRL3
P56801	Q9T0D7
Q0WT48	Q7XA66
Q6DBA5	Q8W5S1
O81208	P56778
Q2V3K1	Q94AP0
P25873	Q9FKP0
Q9CA69	Q9LMM6
Q84P17	Q9FJI2
A8MS41	Q9S840
Q3E880	Q9XF04
O48837	Q9FJB4
P93311	Q6NLP2
O23160	Q9LNW3
Q9M5P3	Q9XIA4
O80575	Q93WE4
Q8H1Q8	Q9M1Y0
Q8LF05	Q8RXW0
Q944I4	Q9FMF7
Q8LCE4	Q9STQ3
P56751	P56754
Q93Z51	Q9ZP54
Q8GYA6	Q8W206
Q8L7A0	Q9SFC7
O49160	Q8W206
P51102	Q8VZW3
Q0WT48	Q9LT25
P56805	Q9SX68
O82081	Q9XI72
F4I0K2	Q9SA52
P56751	P61841
Q0WVH0	Q9M0V4
P56796	Q9M385
O24646	Q9SIV3
P56761	P61847
F4KIN4	O22799
Q84VQ4	Q9S829
Q8RWE8	Q93VR3
Q8VWI7	Q9FZ06
Q66WT5	Q9MBA1
Q8L725	Q9ZT63
Q9FHM7	Q9FNH6
P47735	Q38847
P49078	Q9LYU8
O22795	P16180
Q29Q81	Q9SGE2
P93286	Q33884
Q84VW9	Q9SIK1
Q8LB10	Q9S834
P16180	Q84JG5
P56759	Q9MAP3
P30185	Q9SZL4
Q07473	Q9SHE8
Q93WG3	Q9ZVH7
Q9M9G6	Q9SR13
